codigo_acao_orcamentaria	nome_acao_orcamentaria	procv_funcao_no_access_da_camara
00EF	SUBVENCAO ECONOMICA EM OPERACOES DE FINANCIAMENTO PARA INFRAESTRUTURA EM PROJETOS DE HABITACAO POPULAR (LEI N. 11.977, DE 2009)	Encargos Especiais
00EG	INTEGRALIZACAO DE COTAS DO FUNDO PARA OPERACOES ESPECIAIS - FOE	Administração
00EH	INTEGRALIZACAO DE COTAS AO BANCO INTERAMERICANO DE DESENVOLVIMENTO - BID	Administração
00EI	SUBVENCAO ECONOMICA NAS OPERACOES DE FINANCIAMENTO PARA A ESTOCAGEM DE ALCOOL COMBUSTIVEL E PARA RENOVACAO E IMPLANTACAO DE CANAVIAIS (LEI N. 12.666, DE 2012)	Energia
00EJ	CONTRIBUICAO AO ACORDO DE CONSERVACAO DE ALBATROZES E PETREIS - ACAP (MMA)	Encargos Especiais
00ET	CONTRIBUICAO AO FUNDO DA AGRICULTURA FAMILIAR DO MERCOSUL - FAF (MDA)	Encargos Especiais
00EX	CONTRIBUICAO A CONVENCAO SOBRE A PROIBICAO DO USO, ARMAZENAMENTO, PRODUCAO E TRANSFERENCIA DE MINAS ANTIPESSOAL E SOBRE SUA DESTRUICAO - CONVENCAO DE OTTAWA (MRE)	Encargos Especiais
00EY	CONTRIBUICAO A ASSOCIACAO INTERNACIONAL DE SINALIZACAO MARITIMA - IALA (MD)	Encargos Especiais
00EZ	CONTRIBUICAO AO COMITE INTERNACIONAL DE MEDICINA MILITAR - CIMM (MD)	Encargos Especiais
00F4	CONTRIBUICAO AO PROTOCOLO DE MONTREAL SOBRE SUBSTANCIAS QUE DESTROEM A CAMADA DE OZONIO - PROTOCOLO DE MONTREAL (MRE)	Encargos Especiais
00F7	CONTRIBUICAO A ASSOCIACAO BRASILEIRA DAS INSTITUICOES DE PESQUISA TECNOLOGICA - ABIPTI	Encargos Especiais
