codigo_acao_orcamentaria	nome_acao_orcamentaria	procv_funcao_no_access_da_camara
09IX	CUMPRIMENTO DE OBRIGACOES DECORRENTES DA EXTINCAO DA REDE FERROVIARIA FEDERAL S/A - RFFSA	Encargos Especiais
09IZ	INGRESSOS DE EMPREGADOS, DE PLANOS DE CARGOS E EMPREGOS, DE ACORDOS COLETIVOS/DISSIDIOS, DE PLANOS DE DESLIGAMENTO VOLUNTARIO E DE ANISTIADOS DE QUE TRATA A LEI N. 8.878/94 - EMPRESAS ESTATAIS	Encargos Especiais
09JC	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO RIO GRANDE DO NORTE - MELHORIA DA INFRAESTRUTURA E DA OPERACAO PORTUARIA	Encargos Especiais
09JD	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO RIO DE JANEIRO - MELHORIA DA INFRAESTRUTURA E DA OPERACAO PORTUARIA	Encargos Especiais
09KF	CONTRIBUICAO A ASSOCIACAO INTERNACIONAL DE CONSELHOS ECONOMICOS E SOCIAIS E INSTITUICOES SIMILARES - AICESIS (PR)	Encargos Especiais
09LK	ENCARGOS DO FUNDO CONTINGENTE DA EXTINTA REDE FERROVIARIA FEDERAL S.A. - RFFSA	Encargos Especiais
09LP	PARTICIPACAO DA UNIAO NO CAPITAL SOCIAL - EMPRESA BRASILEIRA DE HEMODERIVADOS E BIOTECNOLOGIA - HEMOBRAS	Saúde
0A01	AUXILIO EMERGENCIAL FINANCEIRO (LEI N. 10.954, DE 2004)	Assistência Social
0A07	CONCESSAO DE BOLSA - EDUCACAO ESPECIAL AOS DEPENDENTES DAS VITIMAS DO ACIDENTE DE ALCANTARA (LEI N. 10.821, DE 18 DE DEZEMBRO DE 2003)	Encargos Especiais
0A08	CONCESSAO DE BOLSA - EDUCACAO ESPECIAL (ARTIGO 5. DA LEI N. 10.821, DE 18 DE DEZEMBRO DE 2003)	Encargos Especiais
0A12	CONCESSAO DE BOLSAPERMANENCIA NO ENSINO SUPERIOR	Educação
0A26	CONCESSAO DE AUXILIO-FINANCEIRO - PROJOVEM	Trabalho
0A27	EQUALIZACAO DE JUROS NOS FINANCIAMENTOS AO AGRONEGOCIO CAFE (LEI N. 8.427, DE 1992)	Agricultura
0A29	SUBVENCAO ECONOMICA A PROJETOS DE DESENVOLVIMENTO TECNOLOGICO (LEI N. 10.973, DE 2004)	Ciência e Tecnologia
0A37	FINANCIAMENTO DE PROJETOS DE DESENVOLVIMENTO TECNOLOGICO DE EMPRESAS (LEI N. 11.540, DE 2007)	Ciência e Tecnologia
0A45	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO ESTADO DE SAO PAULO - IMPLANTACAO DA AVENIDA PERIMETRAL PORTUARIA NO PORTO DE SANTOS - NO MUNICIPIO DE SANTOS (SP)	Encargos Especiais
0A53	TRANSFERENCIAS DAS PARTICIPACOES PELA PRODUCAO DE PETROLEO E GAS NATURAL (LEI N. 9.478, DE 1997)	Encargos Especiais
0A81	FINANCIAMENTO DE OPERACOES NO AMBITO DO PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR - PRONAF (LEI N. 10.186, DE 2001)	Agricultura
0A84	FINANCIAMENTO DE OPERACOES NO AMBITO DO PROGRAMA DE FINANCIAMENTO AS EXPORTACOES - PROEX (LEI N. 10.184, DE 2001)	Comércio e Serviços
0A86	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO CEARA - MELHORIA DA INFRAESTRUTURA E DA OPERACAO PORTUARIA	Encargos Especiais
0A87	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO ESPIRITO SANTO - MELHORIA DA INFRAESTRUTURA E DA OPERACAO PORTUARIA	Encargos Especiais
0A88	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DAS DOCAS DO ESTADO DA BAHIA - MELHORIA DA INFRAESTRUTURA E DA OPERACAO PORTUARIA	Encargos Especiais
0A90	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO PARA - MELHORIA DA INFRAESTRUTURA E DA OPERACAO PORTUARIA	Encargos Especiais
0B18	PARTICIPACAO DA UNIAO NO CAPITAL - ALCANTARA CYCLONE SPACE - ACS	Ciência e Tecnologia
0B64	CONTRIBUICAO A ASSOCIACAO LATINO-AMERICANA DE INTEGRACAO - ALADI (MRE)	Encargos Especiais
0B66	CONTRIBUICAO A SECRETARIA GERAL IBERO-AMERICANA - SEGIB (MRE)	Encargos Especiais
0B67	CONTRIBUICAO A AUTORIDADE INTERNACIONAL DOS FUNDOS MARINHOS - ISBA (MRE)	Encargos Especiais
0B68	CONTRIBUICAO A COMISSAO INTERNACIONAL DA BALEIA - CIB (MRE)	Encargos Especiais
0B69	CONTRIBUICAO A COMISSAO INTERGOVERNAMENTAL DOS PAISES DA BACIA DO PRATA - CIC (MRE)	Encargos Especiais
0B70	CONTRIBUICAO A CONFERENCIA DE HAIA DE DIREITO INTERNACIONAL PRIVADO - CHDIP (MRE)	Encargos Especiais
0B71	CONTRIBUICAO A CONVENCAO PARA A CONSERVACAO DOS RECURSOS MARINHOS ANTARTICOS - CCAMLR (MRE)	Encargos Especiais
0B72	CONTRIBUICAO A ORGANIZACAO MUNDIAL DE PROPRIEDADE INTELECTUAL - OMPI (MRE)	Encargos Especiais
0B73	CONTRIBUICAO A ORGANIZACAO DAS NACOES UNIDAS PARA O DESENVOLVIMENTO INDUSTRIAL - UNIDO (MRE)	Encargos Especiais
0B74	CONTRIBUICAO A ORGANIZACAO PARA A PROIBICAO DAS ARMAS QUIMICAS - OPAQ (MRE)	Encargos Especiais
0B75	CONTRIBUICAO AO TRIBUNAL PENAL INTERNACIONAL - TPI (MRE)	Encargos Especiais
0C01	VALORES RETROATIVOS A ANISTIADOS POLITICOS NOS TERMOS DA LEI N. 11.354, DE 19/10/2006	Previdência Social
0C03	TRANSFERENCIA DE RECURSOS DECORRENTES DE CONCESSOES FLORESTAIS (LEI N. 11.284, DE 2006 - ART. 39)	Encargos Especiais
0C04	PROVIMENTO DE CARGOS E FUNCOES E REESTRUTURACAO DE CARGOS, CARREIRAS E REVISAO DE REMUNERACOES	Encargos Especiais
0C33	FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB	Encargos Especiais
0C36	CONTRIBUICAO A CONVENCAO DE CONTROLE DOS MOVIMENTOS TRANSFRONTEIRICOS DE RESIDUOS PERIGOSOS E SEU DEPOSITO - CONVENCAO DE BASILEIA (MRE)	Encargos Especiais
0C37	CONTRIBUICAO A CONVENCAO SOBRE OS POLUENTES ORGANICOS PERSISTENTES - CONVENCAO DE ESTOCOLMO (MRE)	Encargos Especiais
0C38	CONTRIBUICAO A CONVENCAO SOBRE O PROCEDIMENTO DE CONSENTIMENTO PREVIO INFORMADO PARA O COMERCIO INTERNACIONAL DE CERTAS SUBSTANCIAS QUIMICAS E AGROTOXICOS PERIGOSOS -CONVENCAO DE ROTERDA (MRE)	Encargos Especiais
0C39	CONTRIBUICAO A ORGANIZACAO INTERNACIONAL DE MADEIRAS TROPICAIS - OIMT (MMA)	Encargos Especiais
0C56	CONTRIBUICAO A FEDERACAO INTERNACIONAL DOS ARQUIVOS DE FILMES - FIAF (MJ)	Encargos Especiais
0E25	AUXILIO FINANCEIRO AOS ESTADOS, AO DISTRITO FEDERAL E AOS MUNICIPIOS PARA O FOMENTO DAS EXPORTACOES	Encargos Especiais
0E36	COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB	Educação
0E44	CONTRIBUICAO AO FUNDO DAS NACOES UNIDAS PARA A INFANCIA - UNICEF (MEC)	Encargos Especiais
0E45	PARTICIPACAO DA UNIAO NO CAPITAL DA EMPRESA BRASILEIRA DE INFRAESTRUTURA AEROPORTUARIA	Encargos Especiais
0E53	AQUISICAO DE VEICULOS PARA O TRANSPORTE ESCOLAR DA EDUCACAO BASICA - CAMINHO DA ESCOLA	Educação
0E64	SUBVENCAO ECONOMICA DESTINADA A HABITACAO DE INTERESSE SOCIAL EM CIDADES COM MENOS DE 50.000 HABITANTES (LEI N 11.977, DE 2009)	Encargos Especiais
0E81	BENEFICIOS PREVIDENCIARIOS URBANOS	Previdência Social
0E82	BENEFICIOS PREVIDENCIARIOS RURAIS	Previdência Social
0E83	FINANCIAMENTO DE PROJETOS DO SETOR PRODUTIVO NO AMBITO DO FUNDO DE DESENVOLVIMENTO DO CENTRO-OESTE - FDCO	Encargos Especiais
0E85	SUBVENCAO ECONOMICA EM OPERACOES DE FINANCIAMENTO PARA A AQUISICAO DE BENS E SERVICOS DE TECNOLOGIA ASSISTIVA DESTINADOS A PESSOAS COM DEFICIENCIA (LEI N. 12.613, DE 2012)	Assistência Social
0E90	PARTICIPACAO DA UNIAO NO CAPITAL DA EMPRESA BRASILEIRA DE ADMINISTRACAO DE PETROLEO E GAS NATURAL S.A. - PRE-SAL PETROLEO S.A. (PPSA)	Energia
0E99	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO ESTADO DE SAO PAULO - IMPLANTACAO DE AREA DE APOIO LOGISTICO PORTUARIO NO PORTO DE SANTOS - SP	Encargos Especiais
0EA4	SUBVENCAO ECONOMICA AS UNIDADES INDUSTRIAIS PRODUTORAS DE ETANOL COMBUSTIVEL  NA REGIAO NORDESTE (LEI N. 12.865, DE 2013)	Encargos Especiais
0EA5	SUBVENCAO ECONOMICA AOS PRODUTORES FORNECEDORES INDEPENDENTES DE CANA-DE-ACUCAR NA REGIAO NORDESTE (LEI N. 12.865, DE 2013)	Encargos Especiais
0EB2	PARTICIPACAO DA UNIAO NO CAPITAL DA ELETROBRAS	
0EB3	CONCESSAO DE SUBVENCAO ECONOMICA PARA A AQUISICAO DE MATERIAIS DE CONSTRUCAO DESTINADOS A REFORMA, AMPLIACAO OU A CONCLUSAO DE UNIDADES HABITACIONAIS - CARTAO REFORMA (LEI N. 13.439 DE 27 DE ABRIL DE 2017)	Encargos Especiais
0EB6	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO RIO GRANDE DO NORTE - ADEQUACAO DE INSTALACOES GERAIS E DE SUPRIMENTOS NO TERMINAL SALINEIRO DE AREIA BRANCA	Transporte
0EB7	ENCARGOS DECORRENTES DA EXTINCAO DO FUNDO NACIONAL DE DESENVOLVIMENTO (FND)	
100N	IMPLANTACAO DO PROJETO PUBLICO DE IRRIGACAO BARRAGEM SANTA CRUZ DO APODI COM 5.200 HA NO ESTADO DO RIO GRANDE DO NORTE	Agricultura
101V	IMPLANTACAO DE CORREDORES ECOLOGICOS	Gestão Ambiental
104I	CONSTRUCAO DO EDIFICIO-SEDE II DO MINISTERIO DA FAZENDA EM BRASILIA	Administração
105S	ADEQUACAO DE TRECHO RODOVIARIO - DIVISA SE/BA - ENTRONCAMENTO BR-324 - NA BR-101/BA	Transporte
105T	ADEQUACAO DE TRECHO RODOVIARIO - DIVISA RN/PB - DIVISA PB/PE - NA BR-101/PB	Transporte
108X	IMPLANTACAO DE POSTOS DE PESAGEM	Transporte
109H	CONSTRUCAO DE BARRAGENS	Gestão Ambiental
109I	CONSTRUCAO DE ACUDES	Gestão Ambiental
109J	CONSTRUCAO DE ADUTORAS	Gestão Ambiental
10AV	CONSTRUCAO DO EDIFICIO-SEDE DO MINISTERIO DA FAZENDA EM SALVADOR - BA	Administração
10AX	CONSTRUCAO DO EDIFICIO-SEDE DA DELEGACIA DA RECEITA FEDERAL DO BRASIL EM SANTOS - SP	Administração
10B3	CONSTRUCAO DO EDIFICIO-SEDE DA DELEGACIA DA RECEITA FEDERAL DO BRASIL EM NATAL - RN	Administração
10BC	IMPLANTACAO DE PROJETOS DE IRRIGACAO	Agricultura
10CT	CONSTRUCAO DO CANAL ADUTOR DO SERTAO ALAGOANO	Gestão Ambiental
10DC	CONSTRUCAO DA BARRAGEM OITICICA NO ESTADO DO RIO GRANDE DO NORTE	Gestão Ambiental
10E9	IMPLANTACAO DA ADUTORA GAVIAO-PECEM NO ESTADO DO CEARA	Gestão Ambiental
10F6	IMPLANTACAO DA ADUTORA DO AGRESTE NO ESTADO DE PERNAMBUCO	Gestão Ambiental
10GD	IMPLANTACAO, AMPLIACAO E MELHORIA DE SISTEMAS PUBLICOS DE ABASTECIMENTO DE AGUA EM MUNICIPIOS COM POPULACAO ATE 50.000 HABITANTES, EXCLUSIVE EM REGIOES METROPOLITANAS (RM) OU REGIOES INTEGRADAS DE DESENVOLVIMENTO ECONOMICO (RIDE)	Saúde
10GE	IMPLANTACAO, AMPLIACAO E MELHORIA DE SISTEMAS PUBLICOS DE ESGOTAMENTO SANITARIO EM MUNICIPIOS COM POPULACAO ATE 50.000 HABITANTES, EXCLUSIVE EM REGIOES METROPOLITANAS (RM) OU REGIOES INTEGRADAS DE DESENVOLVIMENTO ECONOMICO (RIDE)	Saúde
10GG	IMPLANTACAO E MELHORIA DE SISTEMAS PUBLICOS DE MANEJO DE RESIDUOS SOLIDOS EM MUNICIPIOS DE ATE 50.000 HABITANTES, EXCLUSIVE DE REGIOES METROPOLITANAS OU REGIOES INTEGRADAS DE DESENVOLVIMENTO ECONOMICO (RIDE)	Saúde
10GM	ESTUDOS E PROJETOS DE INFRAESTRUTURA HIDRICA	Gestão Ambiental
10GQ	CONSTRUCAO DO EDIFICIO SEDE DO BANCO CENTRAL DO BRASIL EM PORTO ALEGRE-RS	Administração
10H8	CONSTRUCAO DE CONTORNO FERROVIARIO EM DIVINOPOLIS - NA EF-116/MG	Transporte
10HE	CONSTRUCAO DE CONTORNO FERROVIARIO EM TRES LAGOAS - EF-265/MS	Transporte
10IW	CONSTRUCAO DE TRECHO RODOVIARIO - ITACARAMBI - DIVISA MG/BA - NA BR-135/MG	Transporte
10IX	ADEQUACAO DE TRECHO RODOVIARIO - ENTRONCAMENTO BR-116/259/451 (GOVERNADOR VALADARES) - ENTRONCAMENTO MG-020 - NA BR-381/MG	Transporte
10JQ	ADEQUACAO DE TRECHO RODOVIARIO - SAO FRANCISCO DO SUL - JARAGUA DO SUL - NA BR-280/SC	Transporte
10KK	CONSTRUCAO DE TRECHO RODOVIARIO - ENTRONCAMENTO BR-163/MT (SORRISO) - ENTRONCAMENTO BR-158/MT (RIBEIRAO CASCALHEIRA) - NA BR-242/MT	Transporte
10KR	CONSTRUCAO DE TRECHO RODOVIARIO - DIVISA PA/TO - ALTAMIRA - NA BR-230/PA	Transporte
10KT	CONSTRUCAO DE ACESSO RODOVIARIO AO PORTO DE SALVADOR/BA	Transporte
10L1	ADEQUACAO DE TRECHO RODOVIARIO - RONDONOPOLIS - CUIABA - POSTO GIL - NA BR-163/MT	Transporte
10L3	ADEQUACAO DE TRECHO RODOVIARIO - CAUCAIA - ENTRONCAMENTO ACESSO AO PORTO DE PECEM - NA BR-222/CE	Transporte
10L7	CONSTRUCAO DE TRECHO RODOVIARIO - PORTO ALEGRE - ESTEIO - SAPUCAIA - NA BR-448/RS	Transporte
10M1	CONSTRUCAO E APARELHAMENTO DA QUINTA PENITENCIARIA FEDERAL	Direitos da Cidadania
10M8	DESENVOLVIMENTO DO SISTEMA DE GESTAO DE PESSOAS - SIGEPE.GOV	Administração
10M9	ADEQUACAO DE TRECHO RODOVIARIO - TABAI - ESTRELA - NA BR-386/RS	Transporte
10MK	DESAPROPRIACAO DE AREA PARA CONSTRUCAO DA FERROVIA TRANSNORDESTINA - EF-232	Transporte
10RM	IMPLANTACAO, AMPLIACAO OU MELHORIA DE SISTEMAS PUBLICOS DE ESGOTAMENTO SANITARIO NA AREA DE ATUACAO DA CODEVASF	Saneamento
10RP	IMPLANTACAO, AMPLIACAO OU MELHORIA DE SISTEMAS PUBLICOS DE COLETA, TRATAMENTO E DESTINACAO FINAL DE RESIDUOS SOLIDOS EM MUNICIPIOS DAS BACIAS DO SAO FRANCISCO E PARNAIBA	Saneamento
10S3	APOIO A URBANIZACAO DE ASSENTAMENTOS PRECARIOS	Urbanismo
10S5	APOIO A EMPREENDIMENTOS DE SANEAMENTO INTEGRADO EM MUNICIPIOS COM POPULACAO SUPERIOR A 50 MIL HABITANTES OU MUNICIPIOS INTEGRANTES DE REGIOES METROPOLITANAS OU DE REGIOES INTEGRADAS DE DESENVOLVIMENTO	Saneamento
10S6	APOIO A MELHORIA DAS CONDICOES DE HABITABILIDADE DE ASSENTAMENTOS PRECARIOS	Habitação
10SC	APOIO A IMPLANTACAO, AMPLIACAO OU MELHORIAS EM SISTEMAS DE ABASTECIMENTO DE AGUA EM MUNICIPIOS COM POPULACAO SUPERIOR A 50 MIL HABITANTES OU MUNICIPIOS INTEGRANTES DE REGIOES METROPOLITANAS OU DE REGIOES INTEGRADAS DE DESENVOLVIMENTO	Saneamento
10SG	APOIO A SISTEMAS DE DRENAGEM URBANA SUSTENTAVEL E DE MANEJO DE AGUAS PLUVIAIS EM MUNICIPIOS CRITICOS SUJEITOS A EVENTOS RECORRENTES DE INUNDACOES, ENXURRADAS E ALAGAMENTOS	Saneamento
10SJ	APOIO A PRODUCAO OU MELHORIA HABITACIONAL DE INTERESSE SOCIAL	Habitação
10SR	APOIO A ELABORACAO DE PLANOS E PROJETOS DE SISTEMAS DE TRANSPORTE PUBLICO COLETIVO URBANO	Urbanismo
10SS	APOIO A SISTEMAS DE TRANSPORTE PUBLICO COLETIVO URBANO	Urbanismo
10ST	APOIO A SISTEMAS DE TRANSPORTE NAO-MOTORIZADOS	Urbanismo
10SX	APOIO A IMPLANTACAO DO TRECHO LAPA-PIRAJA DO SISTEMA DE TRENS URBANOS DE SALVADOR - BA	Urbanismo
10SY	APOIO A IMPLANTACAO DO TRECHO SUL VILA DAS FLORES-JOAO FELIPE DO SISTEMA DE TRENS URBANOS DE FORTALEZA - CE	Urbanismo
10T2	APOIO A PROJETOS E OBRAS DE REABILITACAO E URBANIZACAO ACESSIVEL EM AREAS URBANAS	Urbanismo
10TN	IMPLANTACAO DA ADVOCACIA PUBLICA ELETRONICA E-AGU	Essencial à Justiça
10TP	MODERNIZACAO ESTRUTURAL DO CENTRO DE PESQUISA E ANALISES TECNOLOGICAS	Energia
10TT	MONITORAMENTO DA RECUPERACAO AMBIENTAL DA BACIA CARBONIFERA DE SANTA CATARINA	Gestão Ambiental
10U2	COOPERACAO TECNICA EM PROPRIEDADE INTELECTUAL	Indústria
10V0	APOIO A PROJETOS DE INFRAESTRUTURA TURISTICA	Comércio e Serviços
10ZW	RECUPERACAO E CONTROLE DE PROCESSOS EROSIVOS EM BACIAS HIDROGRAFICAS NA AREA DE ATUACAO DA CODEVASF	Gestão Ambiental
110C	REFORMA, ADAPTACAO E MODERNIZACAO DAS UNIDADES REGIONAIS DA CONTROLADORIA-GERAL DA UNIAO	Administração
110I	CONSTRUCAO DE TRECHO RODOVIARIO - ALTAMIRA - RUROPOLIS - NA BR-230/PA	Transporte
110O	CONSTRUCAO DA SEGUNDA PONTE SOBRE O RIO PARANA (BINACIONAL) - NA BR-277/PR	Transporte
110Q	ADEQUACAO DE TRECHO RODOVIARIO - PEDRA BRANCA - DIVISA SE/AL - NA BR-101/SE	Transporte
110R	ADEQUACAO DE TRECHO RODOVIARIO - DIVISA BA/SE - ENTRONCAMENTO BR-235 - NA BR-101/SE	Transporte
110S	MELHORAMENTOS NO CANAL DE NAVEGACAO DA HIDROVIA DOS RIOS PARANA E PARAGUAI	Transporte
111D	CONSTRUCAO DE TRECHO RODOVIARIO - ENTRONCAMENTO BR-163 (CAMPO VERDE) - MIRITITUBA - NA BR-230/PA	Transporte
111J	CONSTRUCAO DE TRECHO RODOVIARIO - ENTRONCAMENTO RN-078 - DIVISA RN/CE - NA BR-226/RN	Transporte
113K	ADEQUACAO DE PONTE SOBRE RIO JAGUARIBE EM ARACATI - NA BR-304/CE	Transporte
113L	CONSTRUCAO DE TRECHO RODOVIARIO - ENTRONCAMENTO BR-414 (COCALZINHO DE GOIAS) - ENTRONCAMENTO GO-154 (ITAGUARI) - NA BR-070/GO	Transporte
113V	CONSTRUCAO DE CONTORNO RODOVIARIO EM MOSSORO - NA BR-304/RN	Transporte
113X	CONSTRUCAO DE CONTORNO RODOVIARIO EM CAICO - NA BR-427/RN	Transporte
113Y	CONSTRUCAO DE TRECHO RODOVIARIO - ENTRONCAMENTO BR-364 - ENTRONCAMENTO RO-478 (FRONTEIRA BRASIL/BOLIVIA) (COSTA MARQUES) - NA BR-429/RO	Transporte
1151	ASSISTENCIA TECNICA PARA GESTAO DOS PROJETOS DE MODERNIZACAO DA GESTAO ADMINISTRATIVA E FISCAL DOS MUNICIPIOS	Administração
116E	CONSTRUCAO DA FERROVIA NORTE-SUL - ANAPOLIS/GO - URUACU/GO - EF-151	Transporte
116F	ABASTECIMENTO PUBLICO DE AGUA EM COMUNIDADES RIBEIRINHAS DOS RIOS SAO FRANCISCO, DO PARNAIBA, DO ITAPECURU E DO MEARIM. - AGUA PARA TODOS	Gestão Ambiental
116I	APOIO A SISTEMAS PUBLICOS DE MANEJO DE RESIDUOS SOLIDOS EM MUNICIPIOS COM POPULACAO SUPERIOR A 50 MIL HABITANTES OU MUNICIPIOS INTEGRANTES DE REGIOES METROPOLITANAS OU DE REGIOES INTEGRADAS DE DESENVOLVIMENTO	Saneamento
116V	INSTALACAO DE UNIDADES DE FUNCIONAMENTO DO INSS	Previdência Social
116X	CONSTRUCAO DA FERROVIA NORTE-SUL - PALMAS/TO - URUACU/GO - EF-151	Transporte
116Z	APOIO A AMPLIACAO, A REVITALIZACAO E A MODERNIZACAO DA INFRAESTRUTURA FISICA DAS ORGANIZACOES ESTADUAIS DE PESQUISAS AGRICOLAS - OEPAS	Agricultura
117A	CONCLUSAO DA CONSTRUCAO E IMPLANTACAO DO CENTRO DE PESQUISA EMBRAPA COCAIS - CPACP	Agricultura
11AA	CONSTRUCAO DA BARRAGEM FRONTEIRAS NO ESTADO DO CEARA	Gestão Ambiental
11G0	IMPLANTACAO DA UNIVERSIDADE FEDERAL DO OESTE DO PARA - UFOPA	Educação
11G1	IMPLANTACAO DA UNIVERSIDADE FEDERAL DA INTEGRACAO LATINO-AMERICANA - UNILA	Educação
11H1	ADEQUACAO DE RAMAL FERROVIARIO EM BARRA MANSA - NA EF-222/RJ	Transporte
11NF	IMPLANTACAO DO SISTEMA ADUTOR DE JACOBINA COM 65 KM NO ESTADO DA BAHIA	Gestão Ambiental
11PJ	ESTRUTURACAO DE LABORATORIOS DE PESQUISAS BIOMEDICAS	Saúde
11UB	CONSTRUCAO E INSTALACAO DO AQUARTELAMENTO DO COMANDO MILITAR DO PLANALTO	Defesa Nacional
11VA	CONSTRUCAO DE TRECHO RODOVIARIO - DIVISA PA/MT - RIBEIRAO CASCALHEIRA - NA BR-158/MT	Transporte
11W0	MODERNIZACAO DE INSTRUMENTOS E SISTEMAS DE GESTAO DA ADMINISTRACAO PUBLICA FEDERAL - PROSIS	Administração
11WB	CONSTRUCAO DE CONTORNO RODOVIARIO EM CACHOEIRO DE ITAPEMIRIM - NA BR-482/ES	Transporte
11ZC	ADEQUACAO DE TRAVESSIA URBANA EM UBERABA - NA BR-262/MG	Transporte
11ZD	CONSTRUCAO DA FERROVIA NORTE-SUL - OUROESTE/SP - ESTRELA D?OESTE/SP - EF-151	Transporte
11ZE	CONSTRUCAO DA FERROVIA DE INTEGRACAO OESTE-LESTE - ILHEUS/BA - CAETITE/BA - EF-334	Transporte
11ZH	CONSTRUCAO DA FERROVIA NORTE-SUL - OUROVERDE DE GOIAS/GO - SAO SIMAO/GO - EF-151	Transporte
11ZI	CONSTRUCAO DA FERROVIA NORTE-SUL - SANTA VITORIA/MG - ITURAMA/MG - EF-151	Transporte
11ZT	FERROVIA TRANSNORDESTINA - PARTICIPACAO DA UNIAO - EF-232	Transporte
1208	ADEQUACAO DE TRECHO RODOVIARIO - PALHOCA - DIVISA SC/RS - NA BR-101/SC	Transporte
1211	IMPLEMENTACAO DE INFRAESTRUTURA BASICA NOS MUNICIPIOS DA REGIAO DO CALHA NORTE	Defesa Nacional
1214	ADEQUACAO DE TRECHO RODOVIARIO - RIO GRANDE - PELOTAS - NA BR-392/RS	Transporte
121Y	RESTAURACAO E MODERNIZACAO DO PALACIO DO PLANALTO	Administração
122A	DRAGAGEM E ADEQUACAO DA NAVEGABILIDADE NO PORTO DO RIO DE JANEIRO (RJ)	Transporte
122E	DRAGAGEM E ADEQUACAO DA NAVEGABILIDADE NO PORTO DE SANTOS (SP)	Transporte
122I	DRAGAGEM E ADEQUACAO DA NAVEGABILIDADE NO PORTO DE VITORIA (ES)	Transporte
122L	DRAGAGEM E ADEQUACAO DA NAVEGABILIDADE NO PORTO DE ITAGUAI (RJ)	Transporte
122M	DRAGAGEM E ADEQUACAO DA NAVEGABILIDADE NO PORTO DE ITAJAI (SC)	Transporte
122O	DRAGAGEM DE APROFUNDAMENTO NO PORTO DE PARANAGUA (PR)	Transporte
122X	IMPLANTACAO DO SISTEMA DE ATENDIMENTO PORTUARIO UNIFICADO	Transporte
122Z	CONSTRUCAO DO BERCO 108 NO PORTO DE ITAQUI (MA)	Transporte
123B	DESENVOLVIMENTO DE CARGUEIRO TATICO MILITAR DE 10 A 20 TONELADAS (PROJETO KC-X)	Defesa Nacional
123G	IMPLANTACAO DE ESTALEIRO E BASE NAVAL PARA CONSTRUCAO E MANUTENCAO DE SUBMARINOS CONVENCIONAIS E NUCLEARES	Defesa Nacional
123H	CONSTRUCAO DE SUBMARINO DE PROPULSAO NUCLEAR	Defesa Nacional
123I	CONSTRUCAO DE SUBMARINOS CONVENCIONAIS	Defesa Nacional
123J	AQUISICAO DE HELICOPTEROS PARA EMPREGO DAS FORCAS ARMADAS	Defesa Nacional
123M	MELHORAMENTOS NO CANAL DE NAVEGACAO DA HIDROVIA DO RIO TOCANTINS	Transporte
123S	CONSTRUCAO DE ANEL RODOVIARIO EM CAMPO GRANDE - NAS BRS 060/163/262/MS	Transporte
123U	ADEQUACAO DE TRECHO RODOVIARIO - ENTRONCAMENTO BR-116 (P/GUAIBA) - ENTRONCAMENTO BR-471 (PANTANO GRANDE) - NA BR-290/RS	Transporte
1248	CONSTRUCAO DE TRECHO RODOVIARIO - MANAUS - DIVISA AM/RO - NA BR-319/AM	Transporte
124E	OBRAS HIDROVIARIAS EMERGENCIAIS	Transporte
124G	CONSTRUCAO DA FERROVIA DE INTEGRACAO OESTE-LESTE - CAETITE/BA - BARREIRAS/BA - EF-334	Transporte
125B	IMPLANTACAO DA UNIVERSIDADE DA INTEGRACAO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA - UNILAB	Educação
125C	IMPLANTACAO DA UNIVERSIDADE FEDERAL DA FRONTEIRA SUL - UFFS	Educação
125F	IMPLEMENTACAO DA RECUPERACAO AMBIENTAL DA BACIA CARBONIFERA DE SANTA CATARINA	Gestão Ambiental
125H	CONSTRUCAO DO COMPLEXO INTEGRADO DO INSTITUTO NACIONAL DE CANCER - INCA	Saúde
126R	CONSTRUCAO DE PONTE INTERNACIONAL SOBRE O RIO OIAPOQUE (FRONTEIRA BRASIL/GUIANA FRANCESA) - NA BR-156/AP	Transporte
126V	MELHORIA NAS CONDICOES DE SEGURANCA DOS ESTADIOS E GARANTIA DOS DIREITOS DO TORCEDOR	Desporto e Lazer
1276	CONSTRUCAO DE CONTORNO FERROVIARIO EM SAO FRANCISCO DO SUL - NA EF-485/SC	Transporte
127A	OBRAS DE MACRODRENAGEM E CONTROLE DE EROSAO MARINHA E FLUVIAL	Urbanismo
